id,name,link,immunity_condition,immunity_damage,def,hits,habitat,exp,speed,resist,saving,debility,languages,feels,skill_bonus,source,strength,dexterity,constitution,intelligence,wisdom,charisma,brief_inf
18,Ави [Avi],https://dnd.su/bestiary/5103-avi/,,,13,27 (5к8 + 5) ,,2 (450 опыта),"30 футов, плавая 30 футов",кислота,,,"Общий, Первичный",пассивное Восприятие 13,+2 ,«Waterdeep: Dragon Heist»,"[10, 0]","[10, 0]","[12, 1]","[13, 1]","[16, 3]","[13, 1]","Средний? Гуманоид (водяной дженази), нейтрально-добрый, именной НИП"
19,Автогном [Autognome],https://dnd.su/bestiary/8707-autognome/,"окаменение?, отравление?, паралич?",яд,16,39 (6к6 + 18) ,,2 (450 опыта),20 футов,,"Тел +5, Мдр +2, Хар +0",,"Общий, Гномий","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Spelljammer: Adventures in Space»,"[13, 1]","[6, -2]","[16, 3]","[4, -3]","[11, 0]","[6, -2]","Маленький? Конструкт, любое мировоззрение"
20,Агдон Длинный шарф [Agdon Longscarf],https://dnd.su/bestiary/8432-agdon-longscarf/,,,19,36 (8к8) ,,2 (450 опыта),35 футов (70 пока на нём его шарф),,"Лов +7, Мдр +4",,"Общий, Сильван",пассивное Восприятие 16,+2 ,«The Wild Beyond The Witchlight: A Feywild Adventure»,"[11, 0]","[20, 5]","[11, 0]","[11, 0]","[14, 2]","[16, 3]","Средний? Гуманоид (Зайцегон), хаотично-злой, именной НИП"
21,Акулотелое отродье [Sharkbody Abomination],https://dnd.su/bestiary/7443-sharkbody-abomination/,,,12,45 (6к10 + 12) ,под водой,2 (450 опыта),"20 футов, плавая 40 футов",,,,,"слепое зрение? 30 футов, пассивное Восприятие 12",+2 ,«Explorer's Guide to Wildemount»,"[18, 4]","[13, 1]","[15, 2]","[1, -5]","[10, 0]","[4, -3]","Большая? Аберрация, без мировоззрения"
22,Аллозавр [Allosaurus],https://dnd.su/bestiary/88-allosaurus/,,,13,51 (6к10 + 18) ,луг,2 (450 опыта),60 футов,,,,,пассивное Восприятие 15,+2 ,«Monster manual»,"[19, 4]","[13, 1]","[17, 3]","[2, -4]","[12, 1]","[5, -3]","Большой? Зверь, без мировоззрения"
23,Аллозавр зомби [Allosaurus Zombie],https://dnd.su/bestiary/5979-allosaurus-zombie/,отравление?,яд,11,51 (6к10 + 18) ,,2 (450 опыта),50 футов,,,,,"тёмное зрение? 60 футов, пассивное Восприятие 8",+2 ,«Adventurers League»,"[19, 4]","[9, -1]","[17, 3]","[1, -5]","[7, -2]","[3, -4]","Большая? Нежить, без мировоззрения"
24,Алоизия Телфан [Aloysia Telfan],https://dnd.su/bestiary/7887-aloysia-telfan/,,,12,66 (12к8 + 12) ,,2 (450 опыта),30 футов,,,,Общий,"тёмное зрение? 60 футов, пассивное Восприятие 12",+2 ,«Critical Role: Call of the Netherdeep»,"[10, 0]","[14, 2]","[12, 1]","[14, 2]","[10, 0]","[16, 3]","Средний? Гуманоид (Чародей, Эльф), законно-злой, именной НИП"
25,Андер [Ander],https://dnd.su/bestiary/12562-ander/,,,13,67 (9к8 + 27) ,,2 (450 опыта),30 футов,,,,Один любой язык (обычно Общий),пассивное Восприятие 10,+2 ,«Phandelver and Below: The Shattered Obelisk»,"[16, 3]","[12, 1]","[17, 3]","[9, -1]","[11, 0]","[9, -1]","Средний? Гуманоид, любое хаотичное мировоззрение"
26,Аниматронный аллозавр [Animatronic Allosaurus],https://dnd.su/bestiary/12689-animatronic-allosaurus/,"испуг?, отравление?, очарование?, паралич?","психическая энергия, яд",13,51 (6к10 + 18) ,,2 (450 опыта),60 футов,,,,,пассивное Восприятие 15,+2 ,«Keys from the Golden Vault»,"[19, 4]","[13, 1]","[17, 3]","[2, -4]","[12, 1]","[5, -3]","Большой? Конструкт, без мировоззрения"
27,Анхег [Ankheg],https://dnd.su/bestiary/38-ankheg/,,,14,39 (6к10 + 6) ,"лес, луг",2 (450 опыта),"30 футов, копая 10 футов",,,,,"тёмное зрение? 60 футов, чувство вибрации? 60 футов, пассивное Восприятие 11",+2 ,«Monster manual»,"[17, 3]","[11, 0]","[13, 1]","[1, -5]","[13, 1]","[6, -2]","Большой? Монстр, без мировоззрения"
28,Ардра Желчь [Fel Ardra],https://dnd.su/bestiary/9256-fel-ardra/,,,13,33 (6к8 + 6) ,город,2 (450 опыта),30 футов,,,,Все,пассивное Восприятие 11,+2 ,«Spelljammer: Adventures in Space»,"[11, 0]","[14, 2]","[12, 1]","[10, 0]","[13, 1]","[14, 2]","Средний? Гуманоид (Тифлинг), хаотично-нейтральный, именной НИП"
29,Арло Киттлтоу (1-4 уровня) [Arlo Kettletoe (Levels 1-4)],https://dnd.su/bestiary/12714-arlo-kettletoe-levels-1-4/,,,15,65 (10к8 + 20) ,"арктика, город, лес, побережье, пустыня, холмы",2 (450 опыта),30 футов,,"Сил +4, Лов +5, Мдр +2",,любые два языка,пассивное Восприятие 10,+2 ,«Keys from the Golden Vault»,"[15, 2]","[16, 3]","[14, 2]","[14, 2]","[11, 0]","[14, 2]","Средний? Гуманоид (полурослик), нейтральный, именной НИП"
30,Архонт-светоч [Lantern Archon],https://dnd.su/bestiary/13039-lantern-archon/,"захват?, истощение?, опутанность?, паралич?, сбивание с ног?","излучение, электричество",13,22 (5к6 + 5) ,,2 (450 опыта),"0 футов, летая 60 футов (парит)","дробящий, колющий, рубящий от немагических атак",,,Все,"тёмное зрение? 120 футов, пассивное Восприятие 13",+2 ,«Planescape: Adventures in the Multiverse»,"[1, -5]","[16, 3]","[12, 1]","[6, -2]","[12, 1]","[13, 1]","Маленький? Небожитель, законно-добрый"
31,Ауспиция Дран [Auspicia Dran],https://dnd.su/bestiary/7478-auspicia-dran/,,,15,52 (8к8 + 16) ,,2 (450 опыта),30 футов,,,,"Общий, Эльфийский",пассивное Восприятие 13,+2 ,«Acquisition Incorporated»,"[16, 3]","[14, 2]","[14, 2]","[15, 2]","[12, 1]","[10, 0]","Средний? Гуманоид (полуэльфийка), нейтрально-добрый, именной НИП"
32,Ашара [Asharra],https://dnd.su/bestiary/6024-asharra/,,,12,31 (7к8) ,,2 (450 опыта),"20 футов, летая 50 футов",,,,"Общий, Ауран",пассивное Восприятие 15,+2 ,«Tomb of Annihilation»,"[10, 0]","[14, 2]","[10, 0]","[14, 2]","[17, 3]","[11, 0]","Средний? Гуманоид, законно-нейтральный, именной НИП"
33,Аартук-старейшина [Aartuk Elder],https://dnd.su/bestiary/8699-aartuk-elder/,,,16,75 (10к10 + 20) ,,3 (700 опыта),"20 футов, лазая 20 футов",,,,Язык Аартуков,"тёмное зрение? 60 футов, пассивное Восприятие 12",+2 ,«Spelljammer: Adventures in Space»,"[18, 4]","[10, 0]","[15, 2]","[12, 1]","[14, 2]","[12, 1]","Большое? Растение, обычно законно-злое"
34,Адепт боевых искусств [Martial arts adept],https://dnd.su/bestiary/6829-martial-arts-adept/,,,16,60 (11к8 + 11) ,город,3 (700 опыта),40 футов,,,,Любой один язык (обычно Общий).,пассивное Восприятие 13,+2 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[11, 0]","[17, 3]","[13, 1]","[11, 0]","[16, 3]","[10, 0]","Средний? Гуманоид, любое мировоззрение"
35,Адепт боевых искусств Жентарима [Zhent Martial Arts Adept],https://dnd.su/bestiary/5185-zhent-martial-arts-adept/,,,16,49 (11к6 + 11) ,,3 (700 опыта),25 футов,,,,"Общий, Полуросликов",пассивное Восприятие 13,+2 ,«Waterdeep: Dragon Heist»,"[11, 0]","[17, 3]","[13, 1]","[11, 0]","[16, 3]","[10, 0]","Маленький? Гуманоид (легконогий полурослик), законно-злой"
36,Адская гончая [Hell hound],https://dnd.su/bestiary/197-hell-hound/,,огонь,15,45 (7к8 + 14) ,"горы, подземье",3 (700 опыта),50 футов,,,,"понимает Инфернальный, но не говорит на нём","тёмное зрение? 60 футов, пассивное Восприятие 15",+2 ,«Monster manual»,"[17, 3]","[12, 1]","[14, 2]","[6, -2]","[13, 1]","[6, -2]","Среднее? Исчадие, законно-злое"
37,Айо Джабе (1-го уровня) [Ayo Jabe (Tier 1)],https://dnd.su/bestiary/7790-ayo-jabe-tier-1/,,,14,65 (10к8 + 20) ,,3 (700 опыта),"30 футов, плавая 30 футов",кислота,"Сил +4, Лов +4",,"Общий, Гоблинский, Орочий",пассивное Восприятие 13,+2 ,«Critical Role: Call of the Netherdeep»,"[14, 2]","[14, 2]","[14, 2]","[10, 0]","[12, 1]","[12, 1]","Средний? Гуманоид (Следопыт, Дженази воды), хаотично-добрый, именной НИП"
38,Акросский гоплит [Akroan Hoplite],https://dnd.su/bestiary/7122-akroan-hoplite/,,,18,52 (8к8 + 16) ,,3 (700 опыта),30 футов,,"Сил +5, Лов +5",,Общий,пассивное Восприятие 12,+2 ,«Mythic Odysseys of Theros»,"[16, 3]","[16, 3]","[14, 2]","[11, 0]","[14, 2]","[13, 1]","Средний? Гуманоид, любое мировоззрение"
39,Алагартхас [Alagarthas],https://dnd.su/bestiary/8426-alagarthas/,,,10,52 (8к8 + 16) ,,3 (700 опыта),30 футов,,"Тел +4, Мдр +2",,"Общий, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«The Wild Beyond The Witchlight: A Feywild Adventure»,"[16, 3]","[11, 0]","[14, 2]","[11, 0]","[11, 0]","[15, 2]","Средний? Гуманоид (Эльф), хаотично-добрый, именной НИП"
40,Алйанор Кинблэйд [Aljanor Keenblade],https://dnd.su/bestiary/5821-aljanor-keenblade/,,,10,52 (8к8 + 16) ,,3 (700 опыта),30 футов,,"Тел +4, Мдр +2",,Все,пассивное Восприятие 10,+2 ,«Out of the Abyss»,"[16, 3]","[11, 0]","[14, 2]","[11, 0]","[11, 0]","[15, 2]","Средний? Гуманоид (человек), любое мировоззрение, именной НИП"
41,Амарит Коппервейн [Amarith Coppervein],https://dnd.su/bestiary/5823-amarith-coppervein/,,,17,58 (9к8 + 18) ,,3 (700 опыта),30 футов,яд,,,один любой язык (обычно Общий),"тёмное зрение? 60 футов, пассивное Восприятие 12",+2 ,«Out of the Abyss»,"[16, 3]","[13, 1]","[14, 2]","[10, 0]","[11, 0]","[10, 0]","Средний? Гуманоид (щитовая дварфийка), нейтрально-добрый, именной НИП"
42,Амрик Вантампур [Amrik Vanthampur],https://dnd.su/bestiary/6404-amrik-vanthampur/,,,17,66 (12к8 + 12) ,,3 (700 опыта),30 футов,,,,"Общий, Инфернальный",пассивное Восприятие 12,+2 ,«Baldur's Gate: Descent Into Avernus»,"[12, 1]","[18, 4]","[12, 1]","[14, 2]","[14, 2]","[15, 2]","Средний? Гуманоид (человек), законно-злой, именной НИП"
43,Анкилозавр [Ankylosaurus],https://dnd.su/bestiary/89-ankylosaurus/,,,15,68 (8к12 + 16) ,луг,3 (700 опыта),30 футов,,,,,пассивное Восприятие 11,+2 ,«Monster manual»,"[19, 4]","[11, 0]","[15, 2]","[2, -4]","[12, 1]","[5, -3]","Огромный? Зверь, без мировоззрения"
44,Анкилозавр зомби [Ankylosaurus Zombie],https://dnd.su/bestiary/6015-ankylosaurus-zombie/,отравление?,яд,14,68 (8к12 + 16) ,,3 (700 опыта),20 футов,,,,,"тёмное зрение? 60 футов, пассивное Восприятие 8",+2 ,«Tomb of Annihilation»,"[19, 4]","[9, -1]","[15, 2]","[2, -4]","[6, -2]","[3, -4]","Огромная? Нежить, без мировоззрения"
45,Арло Киттлтоу (5-8 уровня)  [Arlo Kettletoe (Levels 5-8)],https://dnd.su/bestiary/12715-arlo-kettletoe-levels-5-8/,,,18,52 (8к8 + 16) ,,3 (700 опыта),30 футов,,"Тел +4, Мдр +2",,один любой язык (обычно Общий),пассивное Восприятие 10,+2 ,«Keys from the Golden Vault»,"[16, 3]","[11, 0]","[14, 2]","[11, 0]","[11, 0]","[15, 2]","Средний? Гуманоид (полурослик), нейтральный, именной НИП"
46,Арук Громовержец Туунлакалага [Aruk Thundercaller Thuunlakalaga],https://dnd.su/bestiary/5800-aruk-thundercaller-thuunlakalaga/,,,12,67 (9к8 + 27) ,,3 (700 опыта),30 футов,холод,,,"Общий, Великаний",пассивное Восприятие 14,+2 ,«Icewind Dale: Rime of the Frostmaiden»,"[18, 4]","[11, 0]","[16, 3]","[10, 0]","[15, 2]","[10, 0]","Средний? Гуманоид (голиаф), любое мировоззрение, именной НИП"
47,Астральный эльф воитель [Astral Elf Warrior],https://dnd.su/bestiary/8706-astral-elf-warrior/,,,16,58 (13к8) ,,3 (700 опыта),30 футов,,"Лов +4, Мдр +5",,"Общий, Драконий, Небесный, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 13",+2 ,«Spelljammer: Adventures in Space»,"[12, 1]","[15, 2]","[10, 0]","[16, 3]","[16, 3]","[15, 2]","Средний? Гуманоид, любое мировоззрение"
48,Агония [Agony],https://dnd.su/bestiary/9263-agony/,"сбивание с ног?, паралич?, очарование?, отравление?, опутанность?, окаменение?, истощение?, испуг?, захват?","некротическая энергия, холод, яд",11,45 (10к8) ,"город, подземье",4 (1100 опыта),"0 футов, летая 40 футов (парит)","звук, кислота, огонь, электричество; дробящий, колющий, рубящий от немагических атак",,,"все, известные при жизни","тёмное зрение? 60 футов, пассивное Восприятие 11",+2 ,«Spelljammer: Adventures in Space»,"[7, -2]","[13, 1]","[10, 0]","[10, 0]","[12, 1]","[17, 3]","Средняя? Нежить (привидение тифлинга), любое мировоззрение, именной НИП"
49,Азака Буреклык [Azaka Stormfang],https://dnd.su/bestiary/6025-azaka-stormfang/,,"дробящий, колющий, рубящий от немагических атак, кроме нанесённых посеребрённым оружием",12,120 (16к8 + 48) ,,4 (1100 опыта),30 футов (40 футов в облике тигра),,,,Общий,"тёмное зрение? 60 футов, пассивное Восприятие 15",+2 ,«Tomb of Annihilation»,"[17, 3]","[15, 2]","[16, 3]","[10, 0]","[13, 1]","[11, 0]","Средний? Гуманоид (женщина чультка человек, перевертыш), нейтрально-добрый, именной НИП"
50,Азбара Джос [Azbara Jos],https://dnd.su/bestiary/3328-azbara-jos/,,,13,39 (6к8 + 12) ,,4 (1100 опыта),30 футов,,,,"Общий, Драконий, Инфернальный, Первичный, Тэйский",пассивное Восприятие 11,+2 ,«Hoard of the Dragon Queen»,"[9, -1]","[16, 3]","[14, 2]","[16, 3]","[13, 1]","[11, 0]","Средний? Гуманоид (человек), законно-злой, именной НИП"
51,Аномалия пылающего нароста [Blistercoil Weird],https://dnd.su/bestiary/17268-blistercoil-weird/,"бессознательность?, захват?, истощение?, окаменение?, опутанность?, отравление?, паралич?, сбивание с ног?",яд,13,45 (7к8 + 14) ,,4 (1100 опыта),"40 футов, плавая 60 футов","огонь, холод; дробящий, колющий, рубящий от немагических атак",,,Драконий,"тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Guildmasters' guide to Ravnica»,"[16, 3]","[16, 3]","[15, 2]","[5, -3]","[10, 0]","[7, -2]","Средний? Элементаль, хаотично-нейтральный"
52,Архонт-гончая [Hound Archon],https://dnd.su/bestiary/13038-hound-archon/,"истощение?, паралич?",электричество,15,65 (10к8 + 20) ,,4 (1100 опыта),40 футов,,"Инт +2, Мдр +4",,Все,"тёмное зрение? 120 футов, пассивное Восприятие 16",+2 ,«Planescape: Adventures in the Multiverse»,"[18, 4]","[12, 1]","[15, 2]","[11, 0]","[14, 2]","[15, 2]","Средний? Небожитель, законно-добрый"
53,Адская оса [Hellwasp],https://dnd.su/bestiary/6401-hellwasp/,,огонь,19,52 (8к10 + 8) ,,5 (1800 опыта),"10 футов, летая 60 футов (парит)",,"Лов +5, Мдр +3",холод,"Инфернальный, Телепатия 300 фт. (только с другими Адскими осами)","тёмное зрение? 60 футов, пассивное Восприятие 10",+3 ,«Baldur's Gate: Descent Into Avernus»,"[18, 4]","[15, 2]","[12, 1]","[10, 0]","[10, 0]","[7, -2]","Большое? Исчадие, законно-злое"
54,Айзек Стражни [Izek Strazni],https://dnd.su/bestiary/946-izek-strazni/,,,14,112 (15к8 + 45) ,,5 (1800 опыта),30 футов,,,,Общий,пассивное Восприятие 12,+3 ,«Curse of Strahd»,"[18, 4]","[15, 2]","[16, 3]","[10, 0]","[9, -1]","[15, 2]","Средний? Гуманоид (Человек), нейтрально-злой, именной НИП"
55,Айо Джабе (2-го уровня) [Ayo Jabe (Tier 2)],https://dnd.su/bestiary/7791-ayo-jabe-tier-2/,,,15,97 (15к8 + 30) ,,5 (1800 опыта),"30 футов, плавая 30 футов",кислота,"Сил +5, Лов +6",,"Общий, Гоблинский, Орочий",пассивное Восприятие 15,+3 ,«Critical Role: Call of the Netherdeep»,"[14, 2]","[16, 3]","[14, 2]","[10, 0]","[14, 2]","[12, 1]","Средний? Гуманоид (Следопыт, Дженази воды), хаотично-добрый, именной НИП"
56,Аллип [Allip],https://dnd.su/bestiary/6460-allip/,"окаменение?, опутанность?, отравление?, сбивание с ног?, захват?, паралич?, очарование?, испуг?, истощение?","некротическая энергия, холод, яд",13,40 (9к8) ,"болото, город",5 (1800 опыта),"0 футов, летая 40 футов (парит)","звук, кислота, огонь, электричество; дробящий, колющий, рубящий от немагических атак","Инт +6, Мдр +5",,"все, известные при жизни","тёмное зрение? 60 футов, пассивное Восприятие 15",+3 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[6, -2]","[17, 3]","[10, 0]","[17, 3]","[15, 2]","[16, 3]","Средняя? Нежить, обычно нейтрально-злая"
57,Амбициозный наёмный убийца [Ambitious Assassin],https://dnd.su/bestiary/13234-ambitious-assassin/,"испуг?, очарование?",,16,91 (14к8 + 28) ,,5 (1800 опыта),"40 футов, лазая 40 футов",,"Лов +7, Инт +7",,"Общий, Воровской жаргон, плюс один язык","слепое зрение? 10 футов, пассивное Восприятие 15",+3 ,«The Book of Many Things»,"[10, 0]","[18, 4]","[15, 2]","[18, 4]","[14, 2]","[16, 3]","Маленький? или Средний? Гуманоид, нейтрально-злой"
58,Амелия Кассалантер [Ammalia Cassalanter],https://dnd.su/bestiary/5101-ammalia-cassalanter/,отравление?,яд,12,45 (10к8) ,,5 (1800 опыта),30 футов,,"Инт +6, Мдр +4",,"Общий, Драконий, Инфернальный, Эльфийский",пассивное Восприятие 11,+3 ,«Waterdeep: Dragon Heist»,"[9, -1]","[14, 2]","[11, 0]","[17, 3]","[12, 1]","[15, 2]","Средний? Гуманоид (человек), законно-злой, именной НИП"
59,Анастасия Карелова [Anastrasya Karelova],https://dnd.su/bestiary/4678-anastrasya-karelova/,,,15,82 (11к8 + 33) ,,5 (1800 опыта),30 футов,"некротическая энергия; дробящий, колющий, рубящий от немагических атак","Лов +6, Мдр +3",,"все, известные при жизни","тёмное зрение? 60 футов, пассивное Восприятие 13",+3 ,«Curse of Strahd»,"[16, 3]","[16, 3]","[16, 3]","[11, 0]","[10, 0]","[12, 1]","Средняя? Нежить, нейтрально-злая, именной НИП"
60,Андавир [Andavier],https://dnd.su/bestiary/9269-andavier/,,,13,90 (20к8) ,,5 (1800 опыта),30 футов,,"Инт +6, Мдр +8, Хар +6",,"Общий, Небесный, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 15",+3 ,«Spelljammer: Adventures in Space»,"[11, 0]","[11, 0]","[10, 0]","[16, 3]","[20, 5]","[17, 3]","Средний? Гуманоид (жрец), законно-нейтральный, именной НИП"
61,Андроид [Android],https://dnd.su/bestiary/17197-android/,"истощение?, отравление?","холод, яд",15,91 (14к8 + 28) ,,5 (1800 опыта),"30 футов, плавая 30 футов (только водолаз), летая 30 футов (парит; только летун)","кислота, огонь","Тел +5, Мдр +4",,Общий плюс языки на которых говорит его создатель,"слепое зрение? 60 футов (только страж), тёмное зрение? 60 футов, пассивное Восприятие 17",+3 ,«Quest from the Infinite Staircase»,"[18, 4]","[18, 4]","[15, 2]","[12, 1]","[13, 1]","[10, 0]","Средний? Конструкт, законно-нейтральный"
62,Астральный эльф звёздный жрец [Astral Elf Star Priest],https://dnd.su/bestiary/8705-astral-elf-star-priest/,,,13,90 (20к8) ,,5 (1800 опыта),30 футов,,"Инт +6, Мдр +8, Хар +6",,"Общий, Небесный, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 15",+3 ,«Spelljammer: Adventures in Space»,"[11, 0]","[11, 0]","[10, 0]","[16, 3]","[20, 5]","[17, 3]","Средний? Гуманоид (жрец), любое мировоззрение"
63,Астральный эльф почетный караульный [Astral Elf Honor Guard],https://dnd.su/bestiary/8704-astral-elf-honor-guard/,,,17,93 (17к8 + 17) ,,5 (1800 опыта),30 футов,,"Мдр +6, Хар +6",,"Общий, Небесный, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 16",+3 ,«Spelljammer: Adventures in Space»,"[14, 2]","[15, 2]","[12, 1]","[17, 3]","[16, 3]","[16, 3]","Средний? Гуманоид, любое мировоззрение"
